"","EncID","PhotoFile","Ycoord","Xcoord","Date","Time","AgeCat","IndID","Distance","Xzeb","Yzeb"
"1",1,"z20170731_084105_0016a.JPG",-25.6802,28.951,2017-07-31,08:40:00,"Ad",1,192,28.9509,-25.6819
"2",2,"z20170731_104801_0033a.JPG",-25.7132,28.9612,2017-07-31,10:47:00,"Ad",2,193,28.9628,-25.7122
"3",3,"z20170731_104801_0033b.JPG",-25.7132,28.9612,2017-07-31,10:47:00,"Ad",3,193,28.9628,-25.7122
"4",4,"z20170731_104801_0033c.JPG",-25.7132,28.9612,2017-07-31,10:47:00,"Ad",4,193,28.9628,-25.7122
"5",5,"z20170731_104838_0035a.JPG",-25.7133,28.9612,2017-07-31,10:47:00,"Ad",3,193,28.9629,-25.7124
"6",6,"z20170731_105359_0040a.JPG",-25.7136,28.9629,2017-07-31,10:53:00,"Ad",2,89,28.9631,-25.7144
"7",7,"z20170731_105520_0047a.JPG",-25.7136,28.963,2017-07-31,10:54:00,"Ad",3,89,28.9631,-25.7144
"8",8,"z20170731_105520_0047b.JPG",-25.7136,28.963,2017-07-31,10:54:00,"Ad",4,89,28.9631,-25.7144
"9",9,"z20170731_105522_0048a.JPG",-25.7136,28.963,2017-07-31,10:54:00,"Ad",2,89,28.9631,-25.7144
"10",10,"z20170731_105522_0048b.JPG",-25.7136,28.963,2017-07-31,10:54:00,"Jv",5,89,28.9631,-25.7144
"11",11,"z20170731_105627_0051a.JPG",-25.7134,28.9637,2017-07-31,10:55:00,"Ad",3,89,28.964,-25.7142
"12",12,"z20170731_111339_0058a.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",6,62,28.9785,-25.7016
"13",13,"z20170731_111339_0058b.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",7,62,28.9785,-25.7016
"14",14,"z20170731_111340_0059a.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",7,62,28.9785,-25.7016
"15",15,"z20170731_111340_0059b.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",6,62,28.9785,-25.7016
"16",16,"z20170731_111340_0059c.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",8,62,28.9785,-25.7016
"17",17,"z20170731_111340_0059d.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",9,62,28.9785,-25.7016
"18",18,"z20170731_111340_0059e.JPG",-25.7009,28.9782,2017-07-31,11:12:00,"Ad",10,62,28.9785,-25.7016
"19",19,"z20170731_120905_0077a.JPG",-25.7131,28.988,2017-07-31,12:08:00,"Ad",11,37,28.9882,-25.7134
"20",20,"z20170731_121006_0082a.JPG",-25.7129,28.9883,2017-07-31,12:09:00,"Ad",12,37,28.9886,-25.7131
"21",21,"z20170731_121006_0082b.JPG",-25.7129,28.9883,2017-07-31,12:09:00,"Ad",13,37,28.9886,-25.7131
"22",22,"z20170731_121018_0084a.JPG",-25.7129,28.9883,2017-07-31,12:09:00,"Ad",14,37,28.9886,-25.7131
"23",23,"z20170731_121026_0085a.JPG",-25.7129,28.9883,2017-07-31,12:09:00,"Ad",15,37,28.9886,-25.7131
"24",24,"z20170731_121054_0087a.JPG",-25.7129,28.9883,2017-07-31,12:10:00,"Ad",13,37,28.9886,-25.7131
"25",25,"z20170731_121108_0088a.JPG",-25.7128,28.9884,2017-07-31,12:10:00,"Ad",12,37,28.9886,-25.7131
"26",26,"z20170731_121119_0089a.JPG",-25.7128,28.9884,2017-07-31,10:10:28,"Ad",14,37,28.9886,-25.7131
"27",27,"z20170731_121122_0090a.JPG",-25.7128,28.9884,2017-07-31,12:10:00,"Jv",16,37,28.9886,-25.7131
"28",28,"z20170731_121125_0091a.JPG",-25.7128,28.9884,2017-07-31,12:10:00,"Ad",15,37,28.9886,-25.7131
"29",29,"z20170731_121207_0095a.JPG",-25.7126,28.9888,2017-07-31,12:11:00,"Ad",15,37,28.989,-25.7129
"30",30,"z20170731_121303_0097a.JPG",-25.7123,28.9896,2017-07-31,12:12:00,"Jv",17,83,28.9891,-25.7117
"31",31,"z20170731_121356_0099a.JPG",-25.7122,28.9897,2017-07-31,12:13:00,"Jv",17,83,28.9892,-25.7116
"32",32,"z20170731_124641_0113a.JPG",-25.7155,29.0076,2017-07-31,12:45:00,"Ad",18,153,29.0086,-25.7165
"33",33,"z20170731_124649_0114a.JPG",-25.7155,29.0076,2017-07-31,12:45:00,"Ad",19,153,29.0086,-25.7165
"34",34,"z20170731_142203_0165a.JPG",-25.6803,29.0488,2017-07-31,14:21:00,"Ad",20,58,29.0485,-25.6808
"35",35,"z20170731_142527_0171a.JPG",-25.6797,29.0474,2017-07-31,14:24:00,"Jv",21,58,29.0472,-25.6803
"36",36,"z20170731_142527_0171b.JPG",-25.6797,29.0474,2017-07-31,14:24:00,"Ad",22,58,29.0472,-25.6803
"37",37,"z20170731_142527_0171c.JPG",-25.6797,29.0474,2017-07-31,14:24:00,"Ad",23,58,29.0472,-25.6803
"38",38,"z20170731_142527_0171d.JPG",-25.6797,29.0474,2017-07-31,14:24:00,"Ad",24,58,29.0472,-25.6803
"39",39,"z20170731_142657_0172a.JPG",-25.6792,29.045,2017-07-31,14:26:00,"Ad",25,171,29.0445,-25.6807
"40",40,"z20170731_142711_0175a.JPG",-25.6791,29.045,2017-07-31,14:26:00,"Jv",26,171,29.0445,-25.6807
"41",41,"z20170731_142711_0175b.JPG",-25.6791,29.045,2017-07-31,14:26:00,"Ad",27,171,29.0445,-25.6807
"42",42,"z20170731_143108_0178a.JPG",-25.6793,29.0438,2017-07-31,14:30:00,"Ad",396,171,29.0432,-25.6808
"43",43,"z20170731_143109_0179a.JPG",-25.6793,29.0438,2017-07-31,14:30:00,"Ad",28,171,29.0432,-25.6808
"44",44,"z20170731_143110_0180a.JPG",-25.6794,29.0438,2017-07-31,14:30:00,"Ad",25,171,29.0432,-25.6808
"45",45,"z20170731_143142_0183a.JPG",-25.6793,29.0438,2017-07-31,14:30:00,"Ad",28,171,29.0432,-25.6808
"46",46,"z20170731_143142_0183b.JPG",-25.6793,29.0438,2017-07-31,14:30:00,"Ad",25,171,29.0432,-25.6808
"47",47,"z20170731_151349_0195a.JPG",-25.7053,29.0037,2017-07-31,15:12:00,"Ad",29,40,29.0035,-25.7051
"48",48,"z20170731_151350_0196a.JPG",-25.7053,29.0037,2017-07-31,15:12:00,"Jv",30,40,29.0035,-25.7051
"49",49,"z20170731_151354_0197a.JPG",-25.7053,29.0037,2017-07-31,15:13:00,"Ad",31,40,29.0035,-25.7051
"50",50,"z20170731_151354_0197b.JPG",-25.7053,29.0037,2017-07-31,15:13:00,"Ad",29,40,29.0035,-25.7051
"51",51,"z20170731_151358_0198a.JPG",-25.7054,29.0037,2017-07-31,15:13:00,"Ad",32,40,29.0035,-25.7051
"52",52,"z20170731_151406_0199a.JPG",-25.7054,29.0037,2017-07-31,15:13:00,"Ad",31,40,29.0035,-25.7051
"53",53,"z20170731_151406_0199b.JPG",-25.7054,29.0037,2017-07-31,15:13:00,"Ad",29,40,29.0035,-25.7051
"54",54,"z20170731_151426_0200a.JPG",-25.7054,29.0037,2017-07-31,15:13:00,"Ad",31,40,29.0035,-25.7051
"55",55,"z20170801_073359_0001a.JPG",-25.6988,28.9487,2017-08-01,07:35:00,"Ad",33,61,28.9483,-25.6983
"56",56,"z20170801_073414_0003a.JPG",-25.6988,28.9487,2017-08-01,07:35:00,"Ad",34,61,28.9483,-25.6983
"57",57,"z20170801_073636_0005a.JPG",-25.6988,28.9487,2017-08-01,07:35:00,"Ad",34,61,28.9483,-25.6983
"58",58,"z20170801_073745_0006a.JPG",-25.6988,28.9487,2017-08-01,07:36:00,"Ad",35,61,28.9483,-25.6983
"59",59,"z20170801_085546_0022a.JPG",-25.6948,28.9425,2017-08-01,08:54:00,"Ad",34,0,28.9425,-25.6948
"60",60,"z20170801_085554_0024a.JPG",-25.6948,28.9425,2017-08-01,08:55:00,"Ad",33,0,28.9425,-25.6948
"61",61,"z20170801_085554_0024b.JPG",-25.6948,28.9425,2017-08-01,08:55:00,"Ad",34,0,28.9425,-25.6948
"62",62,"z20170801_090230_0027a.JPG",-25.6965,28.941,2017-08-01,09:01:00,"Ad",36,150,28.9399,-25.6956
"63",63,"z20170801_090232_0028a.JPG",-25.6965,28.941,2017-08-01,09:01:00,"Jv",37,150,28.9399,-25.6956
"64",64,"z20170801_090232_0028b.JPG",-25.6965,28.941,2017-08-01,09:01:00,"Jv",38,150,28.9399,-25.6956
"65",65,"z20170801_090234_0029a.JPG",-25.6965,28.941,2017-08-01,09:01:00,"Ad",39,150,28.9399,-25.6956
"66",66,"z20170801_090234_0029b.JPG",-25.6965,28.941,2017-08-01,09:01:00,"Jv",37,150,28.9399,-25.6956
"67",67,"z20170801_090234_0029c.JPG",-25.6965,28.941,2017-08-01,09:01:00,"Jv",38,150,28.9399,-25.6956
"68",68,"z20170801_090251_0030b.JPG",-25.6965,28.941,2017-08-01,09:02:00,"Jv",38,150,28.9399,-25.6956
"69",69,"z20170801_090251_0030c.JPG",-25.6965,28.941,2017-08-01,09:02:00,"Jv",37,150,28.9399,-25.6956
"70",70,"z20170801_090305_0031a.JPG",-25.6965,28.941,2017-08-01,09:02:00,"Jv",38,150,28.9399,-25.6956
"71",71,"z20170801_090305_0031b.JPG",-25.6965,28.941,2017-08-01,09:02:00,"Ad",40,150,28.9399,-25.6956
"72",72,"z20170801_090305_0031c.JPG",-25.6965,28.941,2017-08-01,09:02:00,"Jv",37,150,28.9399,-25.6956
"73",73,"z20170801_090313_0032a.JPG",-25.6966,28.941,2017-08-01,09:02:00,"Jv",38,150,28.9399,-25.6956
"74",74,"z20170801_090313_0032b.JPG",-25.6966,28.941,2017-08-01,09:02:00,"Ad",39,150,28.9399,-25.6956
"75",75,"z20170801_090313_0032c.JPG",-25.6966,28.941,2017-08-01,09:02:00,"Jv",37,150,28.9399,-25.6956
"76",76,"z20170801_090313_0032d.JPG",-25.6966,28.941,2017-08-01,09:02:00,"Ad",36,150,28.9399,-25.6956
"77",77,"z20170801_090402_0033a.JPG",-25.6966,28.941,2017-08-01,09:03:00,"Jv",38,150,28.9399,-25.6956
"78",78,"z20170801_090427_0034a.JPG",-25.6965,28.941,2017-08-01,09:03:00,"Jv",41,150,28.9399,-25.6956
"79",79,"z20170801_090427_0034b.JPG",-25.6965,28.941,2017-08-01,09:03:00,"Ad",1,150,28.9399,-25.6956
"80",80,"z20170801_093826_0038a.JPG",-25.7138,28.9616,2017-08-01,09:37:00,"Ad",43,106,28.9622,-25.7129
"81",81,"z20170801_093942_0041a.JPG",-25.7138,28.9617,2017-08-01,09:38:00,"Ad",44,106,28.9622,-25.7129
"82",82,"z20170801_094014_0042a.JPG",-25.7138,28.9616,2017-08-01,09:39:00,"Ad",45,106,28.9622,-25.7129
"83",83,"z20170801_094108_0046a.JPG",-25.7138,28.9616,2017-08-01,09:40:00,"Ad",45,0,28.9616,-25.7138
"84",84,"z20170801_104008_0047a.JPG",-25.7124,28.9892,2017-08-01,10:39:00,"Ad",13,0,28.9892,-25.7124
"85",85,"z20170801_104022_0048a.JPG",-25.7123,28.9892,2017-08-01,10:39:00,"Ad",46,0,28.9892,-25.7123
"86",86,"z20170801_104024_0049a.JPG",-25.7123,28.9892,2017-08-01,10:39:00,"Ad",47,0,28.9892,-25.7123
"87",87,"z20170801_104051_0051a.JPG",-25.7124,28.9892,2017-08-01,10:39:00,"Ad",15,0,28.9892,-25.7124
"88",88,"z20170801_104115_0052a.JPG",-25.7124,28.9892,2017-08-01,10:40:00,"Ad",15,0,28.9892,-25.7124
"89",89,"z20170801_104115_0052b.JPG",-25.7124,28.9892,2017-08-01,10:40:00,"Ad",48,0,28.9892,-25.7124
"90",90,"z20170801_104138_0053a.JPG",-25.7124,28.9892,2017-08-01,10:40:00,"Ad",13,0,28.9892,-25.7124
"91",91,"z20170801_104138_0053b.JPG",-25.7124,28.9892,2017-08-01,10:40:00,"Ad",12,0,28.9892,-25.7124
"92",92,"z20170801_104151_0054a.JPG",-25.7124,28.9892,2017-08-01,10:41:00,"Ad",14,0,28.9892,-25.7124
"93",93,"z20170801_104151_0054b.JPG",-25.7124,28.9892,2017-08-01,10:41:00,"Jv",16,0,28.9892,-25.7124
"94",94,"z20170801_104208_0055a.JPG",-25.7124,28.9892,2017-08-01,10:41:00,"Ad",102,0,28.9892,-25.7124
"95",95,"z20170801_104208_0055b.JPG",-25.7124,28.9892,2017-08-01,10:41:00,"Ad",49,0,28.9892,-25.7124
"96",96,"z20170801_104247_0056a.JPG",-25.7122,28.9896,2017-08-01,10:41:00,"Ad",50,0,28.9896,-25.7122
"97",97,"z20170801_104255_0057a.JPG",-25.7122,28.9896,2017-08-01,10:42:00,"Ad",46,0,28.9896,-25.7122
"98",98,"z20170801_104303_0058a.JPG",-25.7122,28.9896,2017-08-01,10:42:00,"Jv",17,0,28.9896,-25.7122
"99",99,"z20170801_104318_0059a.JPG",-25.7123,28.9896,2017-08-01,10:42:00,"Ad",51,0,28.9896,-25.7123
"100",100,"z20170801_104423_0060a.JPG",-25.7119,28.9901,2017-08-01,10:43:00,"Ad",52,0,28.9901,-25.7119
"101",101,"z20170801_104423_0060b.JPG",-25.7119,28.9901,2017-08-01,10:43:00,"Ad",47,0,28.9901,-25.7119
"102",102,"z20170801_104423_0060c.JPG",-25.7119,28.9901,2017-08-01,10:43:00,"Ad",53,0,28.9901,-25.7119
"103",103,"z20170801_104423_0060f.JPG",-25.7119,28.9901,2017-08-01,10:43:00,"Ad",54,0,28.9901,-25.7119
